transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,age,age_group,job_title,job_industry_category,wealth_segment,owns_car,postcode,state,property_valuation,country,recency,owns_car_flag
6034,60,2509,12/5/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,8/24/2011,217.51,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,25,0
830,82,2509,11/8/2017,TRUE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,8/10/2015,459.46,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,52,0
10539,83,2509,9/29/2017,FALSE,Approved,Solex,Touring,medium,large,2083.94,675.03,9/16/2013,1408.91,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,92,0
13096,97,2509,9/12/2017,FALSE,Approved,Solex,Standard,medium,large,202.62,151.96,3/29/2016,50.66,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,109,0
2043,2,2509,7/10/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,12/2/2012,17.87,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,173,0
11660,98,2509,6/16/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1/16/2004,143.36,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,197,0
19115,77,2509,6/7/2017,TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,1/10/2011,445.21,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,206,0
5948,12,2509,4/27/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,8/17/2004,1069.55,Male,99,50,40-50,Help Desk Technician,Financial Services,Mass Customer,No,4341,QLD,2,Australia,247,0
6875,59,1364,10/27/2017,TRUE,Approved,Solex,Standard,medium,large,1061.56,733.58,7/20/1993,327.98,Male,99,43,40-50,Junior Executive,Manufacturing,Mass Customer,No,3222,Victoria,6,Australia,64,0
17375,42,1364,6/4/2017,TRUE,Approved,OHM Cycles,Road,medium,small,1810,1610.9,3/19/2008,199.1,Male,99,43,40-50,Junior Executive,Manufacturing,Mass Customer,No,3222,Victoria,6,Australia,209,0
14330,32,1364,2/5/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,3/22/2002,431.33,Male,99,43,40-50,Junior Executive,Manufacturing,Mass Customer,No,3222,Victoria,6,Australia,328,0
