customer_id,recency,frequency,monetary_value,R_Score,F_Score,M_Score,RFM_Value,Customer_Profile
1,7,11,3018,4,4,3,443,Platinum Customer
2,128,3,2226,1,1,2,112,Bronze Customer
9,78,6,2353,1,3,2,132,Bronze Customer
12,67,7,3540,2,3,3,233,Gold Customer
13,27,7,4337,3,3,4,334,Silver Customer
14,47,3,1713,2,1,1,211,Gold Customer
15,35,6,1728,3,3,1,331,Silver Customer
19,280,2,1736,1,1,1,111,Bronze Customer
20,31,4,3608,3,1,3,313,Silver Customer
21,6,5,4229,4,2,4,424,Platinum Customer
24,17,7,3689,3,3,3,333,Silver Customer
25,5,12,5333,4,4,4,444,Platinum Customer
26,259,2,268,1,1,1,111,Bronze Customer
27,143,7,3274,1,3,3,133,Bronze Customer
28,83,6,3366,1,3,3,133,Bronze Customer
29,22,9,6175,3,4,4,344,Silver Customer
31,89,4,426,1,1,1,111,Bronze Customer
32,138,7,2823,1,3,3,133,Bronze Customer
35,92,4,3706,1,1,3,113,Bronze Customer
37,7,9,6338,4,4,4,444,Platinum Customer
38,50,4,2025,2,1,2,212,Gold Customer
39,34,12,6085,3,4,4,344,Silver Customer
40,14,5,3272,3,2,3,323,Silver Customer
41,29,9,4698,3,4,4,344,Silver Customer
42,111,4,427,1,1,1,111,Bronze Customer
43,61,9,3619,2,4,3,243,Gold Customer
44,35,7,4768,3,3,4,334,Silver Customer
45,43,3,1048,2,1,1,211,Gold Customer
47,35,7,4332,3,3,4,334,Silver Customer
50,26,7,4153,3,3,4,334,Silver Customer
51,55,8,4855,2,4,4,244,Gold Customer
53,7,5,2950,4,2,3,423,Platinum Customer
54,67,7,4098,2,3,4,234,Gold Customer
55,46,8,3220,2,4,3,243,Gold Customer
56,2,7,1275,4,3,1,431,Platinum Customer
58,20,8,3501,3,4,3,343,Silver Customer
61,47,6,4254,2,3,4,234,Gold Customer
63,68,3,2190,2,1,2,212,Gold Customer
64,3,5,546,4,2,1,421,Platinum Customer
65,136,5,3799,1,2,3,123,Bronze Customer
66,43,5,4549,2,2,4,224,Gold Customer
70,4,5,2736,4,2,2,422,Platinum Customer
71,131,1,155,1,1,1,111,Bronze Customer
72,22,4,2559,3,1,2,312,Silver Customer
75,60,8,4979,2,4,4,244,Gold Customer
76,1,8,2868,4,4,3,443,Platinum Customer
77,101,3,1657,1,1,1,111,Bronze Customer
78,211,2,82,1,1,1,111,Bronze Customer
79,47,5,1860,2,2,2,222,Gold Customer
80,28,10,5988,3,4,4,344,Silver Customer
82,78,5,2924,1,2,3,123,Bronze Customer
83,80,6,1798,1,3,2,132,Bronze Customer
86,0,9,2360,4,4,2,442,Platinum Customer
87,18,9,3740,3,4,3,343,Silver Customer
88,74,6,2534,2,3,2,232,Gold Customer
89,4,9,5779,4,4,4,444,Platinum Customer
90,30,7,2990,3,3,3,333,Silver Customer
91,9,8,5242,3,4,4,344,Silver Customer
92,34,3,2967,3,1,3,313,Silver Customer
93,79,3,2976,1,1,3,113,Bronze Customer
94,33,7,4902,3,3,4,334,Silver Customer
95,38,4,3050,2,1,3,213,Gold Customer
96,70,3,1135,2,1,1,211,Gold Customer
97,102,8,4911,1,4,4,144,Bronze Customer
98,141,4,1620,1,1,1,111,Bronze Customer
99,2,9,4557,4,4,4,444,Platinum Customer
100,11,2,877,3,1,1,311,Gold Customer
101,8,4,2589,4,1,2,412,Platinum Customer
102,42,7,2587,2,3,2,232,Gold Customer
103,116,4,895,1,1,1,111,Bronze Customer
104,64,7,3112,2,3,3,233,Gold Customer
105,89,4,3475,1,1,3,113,Bronze Customer
107,81,4,2343,1,1,2,112,Bronze Customer
112,47,6,5742,2,3,4,234,Gold Customer
114,70,4,2195,2,1,2,212,Gold Customer
115,14,8,3135,3,4,3,343,Silver Customer
116,12,8,2447,3,4,2,342,Silver Customer
117,5,10,6917,4,4,4,444,Platinum Customer
120,129,2,869,1,1,1,111,Bronze Customer
121,111,4,2892,1,1,3,113,Bronze Customer
122,8,5,2695,4,2,2,422,Platinum Customer
123,191,4,3245,1,1,3,113,Bronze Customer
124,2,7,4054,4,3,3,433,Platinum Customer
125,83,10,3345,1,4,3,143,Bronze Customer
126,11,3,1096,3,1,1,311,Gold Customer
127,23,10,3993,3,4,3,343,Silver Customer
128,137,4,2193,1,1,2,112,Bronze Customer
129,178,4,2753,1,1,2,112,Bronze Customer
130,76,2,1779,2,1,1,211,Gold Customer
131,205,6,5494,1,3,4,134,Bronze Customer
132,7,6,2780,4,3,2,432,Platinum Customer
133,26,5,803,3,2,1,321,Silver Customer
134,14,6,2946,3,3,3,333,Silver Customer
