transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,age,age_group,job_title,job_industry_category,wealth_segment,owns_car,postcode,state,property_valuation,country,recency,owns_car_flag
253,2,3123,12/30/2017,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,525.33,11/5/2010,64.93,Female,71,45,40-50,Dental Hygienist,Health,High Net Worth,No,2195,New South Wales,6,Australia,0,0
411,62,3355,12/30/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,6/23/1993,179.44,Female,50,31,30-40,Staff Accountant I,Manufacturing,Mass Customer,No,4102,QLD,4,Australia,0,0
606,70,2878,12/30/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,7/26/1999,198.29,Male,73,36,30-40,Analog Circuit Design manager,Property,Mass Customer,Yes,2316,New South Wales,6,Australia,0,1
748,80,2865,12/30/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,5/18/2012,872.89,Female,11,24,<30,Electrical Engineer,Manufacturing,High Net Worth,No,2099,New South Wales,9,Australia,0,0
1033,49,934,12/30/2017,FALSE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,10/4/1997,133.38,Male,76,25,<30,Human Resources Manager,Manufacturing,Mass Customer,No,2036,New South Wales,12,Australia,0,0
1697,56,2421,12/30/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1/21/1991,45.96,Female,54,67,60+,Research Nurse,Health,Affluent Customer,Yes,3046,Victoria,8,Australia,0,1
2074,12,675,12/30/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,5/5/2010,1069.55,Female,37,45,40-50,Administrative Assistant I,Financial Services,Mass Customer,Yes,2048,New South Wales,12,Australia,0,1
2285,95,3216,12/30/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,3/29/2016,41.13,Male,59,23,<30,Database Administrator III,Manufacturing,Mass Customer,Yes,4390,QLD,7,Australia,0,1
2950,30,447,12/30/2017,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,7/12/1994,299.27,Female,98,20,<30,Help Desk Technician,Argiculture,Mass Customer,Yes,2213,New South Wales,10,Australia,0,1
3254,75,1000,12/30/2017,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,5/22/2006,1010.02,Female,44,43,40-50,Compensation Analyst,Financial Services,Mass Customer,No,3136,Victoria,9,Australia,0,0
